scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
pre_genai_2019_baseline,False,62,706071.481327185,108.0,-753881.467571316,8.0,0.010000000000000002,2400603.426555892,7995702.230984348,19521596.00166598,19653366.449567854
pre_genai_2019_baseline,False,75,2409777.8857803117,90.0,-618836.4611701324,8.0,0.010000000000000002,8193109.625344244,21360378.188184552,47042710.33995203,47351576.61996181
pre_genai_2019_baseline,False,75,2037229.5533408157,102.0,-476508.69044827914,8.0,0.06975131578263545,6926466.1946665635,19261296.082561757,39769972.302973844,40073432.05710675
pre_genai_2019_baseline,False,61,969425.9946744086,132.0,-1377484.2200441207,8.0,0.025548451486963518,3295993.997992024,5521201.235944539,19521596.00166598,19684617.99741596
pre_genai_2019_baseline,False,68,1292667.070164231,132.0,-470449.19444595126,8.0,0.04146855638616792,4394995.521132288,12243142.239136634,25234924.30840333,25459976.87711263
pre_genai_2019_baseline,False,66,950506.9819824102,96.0,-219608.3036400457,8.0,0.08104779879470399,3231670.416178329,9185659.666053995,19521596.00166598,19666085.31936823
pre_genai_2019_baseline,False,67,1179214.4972638236,102.0,-322506.87588097865,8.0,0.05768675298628472,4009263.1378552276,6244962.787503935,23020149.014892023,23217630.532428604
pre_genai_2019_baseline,False,70,1619197.6677701864,108.0,-295135.45816760056,8.0,0.0917748449831113,5505181.23492826,12448551.421505032,31609322.71704936,31816858.674282514
pre_genai_2019_baseline,False,76,2228791.4863522407,84.0,-536674.9780393353,8.0,0.06558706379527131,7577766.020458283,20222250.62790438,43509566.968521096,43795235.84255684
pre_genai_2019_baseline,False,64,773239.2685892247,120.0,-1238595.3463254264,8.0,0.08286738870547868,2628970.1351961344,5644481.408580799,19521596.00166598,19695448.97322298
pre_genai_2019_baseline,False,62,736954.9932332227,138.0,-146298.5033644971,8.0,0.030724077833382674,2505605.634499989,2670124.989392797,19521596.00166598,19665263.412410498
pre_genai_2019_baseline,False,66,1293508.2935805577,108.0,-877393.2908834454,8.0,0.04035504499258029,4397855.633555944,16662494.23656138,25251346.332084,25417137.999920916
pre_genai_2019_baseline,False,59,862331.775501564,130.08290209287858,-166264.32821301743,8.0,0.010000000000000002,2931879.660690917,5400938.654386482,19521596.00166598,19674767.651635632
pre_genai_2019_baseline,False,69,1339068.3614565202,90.0,-286794.8656017778,8.0,0.07820354498772306,4552757.30845658,14413483.371325,26140751.570967022,26334296.942914095
pre_genai_2019_baseline,False,64,1014911.6337833182,114.0,-498253.3333136572,8.0,0.0369095629258287,3450642.6192600653,5892883.901210282,19812694.892108716,19942778.24241044
pre_genai_2019_baseline,False,63,1129246.924146645,102.0,-43970.62390274019,8.0,0.029890423844275402,3839376.1923914202,5701531.071452585,22044702.239314754,22189440.183310255
